site_id,dem_tile,dem_tiles_used,slope_samples,mean_slope_deg,p90_slope_deg
OSM-1094264371,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,668,0.586,1.221
OSM-1094264372,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3587,0.508,0.731
OSM-1094264373,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3113,0.522,0.691
OSM-1094264956,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2216,0.491,0.786
OSM-1094264958,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,576,0.472,0.747
OSM-1094264959,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2316,0.605,0.932
OSM-1094264960,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3567,0.506,0.769
OSM-1094264961,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1245,0.626,1.152
OSM-1094284021,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,5880,0.707,1.302
OSM-1094284406,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,4120,0.727,0.876
OSM-1094292036,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,374,1.114,1.958
OSM-1094292041,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,833,0.985,1.67
OSM-1094292045,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,484,0.827,1.508
OSM-1094292049,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,409,1.136,1.838
OSM-1094292051,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1640,1.117,2.058
OSM-1094292052,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3122,1.113,1.947
OSM-1094292055,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,456,0.974,1.76
OSM-1094292056,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,383,1.168,1.98
OSM-1094292057,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,466,1.225,2.202
OSM-1094292058,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,559,0.847,1.444
OSM-1094292065,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1805,1.042,1.8
OSM-1094292071,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,701,0.657,1.118
OSM-1094329495,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,534,0.533,0.947
OSM-1094329726,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,495,0.891,1.554
OSM-1094333651,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,571,0.673,1.14
OSM-1094333659,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2122,0.702,1.28
OSM-1094333660,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1629,0.592,1.046
OSM-1094333661,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1394,0.607,1.032
OSM-1094333662,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1359,0.719,1.301
OSM-1094333663,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2843,0.636,1.113
OSM-1094333664,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,3932,0.627,1.085
OSM-1094333665,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1670,0.717,1.149
OSM-1094333666,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2811,0.719,1.135
OSM-1094333668,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,432,0.764,1.289
OSM-1094333669,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2634,0.737,1.298
OSM-1094333670,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,4275,0.832,1.286
OSM-1094333671,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,541,1.085,2.197
OSM-1094333674,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1879,1.233,1.653
OSM-1094440465,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S45_00_E171_00_DEM,2,727,0.626,0.891
OSM-1094442046,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2778,0.639,1.335
OSM-1094442047,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1352,0.524,0.737
OSM-1094442048,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3961,0.551,1.047
OSM-1094442049,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1269,1.163,2.919
OSM-1094442051,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,593,1.03,2.433
OSM-1094442052,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S45_00_E171_00_DEM,2,2225,0.65,0.825
